ID,Yiyecek adı,Miktar (1 porsiyon) gram,Kap Numarası,Renk,"Kıvam","Fiyat",Enerji,Protein,"Yağ",Karbonhidrat,Lif
149,Kabak Kalye,180,2,yeşil,"yumuşak","e",128.2,8.8,"7.9",5.0,1.1
150,Patlıcan Musakka,180,2,kahverengi,"yumuşak","e",144.6,7.4,"11.0",4.0,2.0
151,Domatesli Patlıcan Salatası,150,3,kırmızı,"yumuşak","e",119.7,1.7,"10.5",4.5,2.0
152,Domates Salatası,100,3,kırmızı,"yumuşak","e",74.3,0.9,"6.6",2.5,1.2
153,Havuç Salatası,100,3,turuncu,"katı","e",78.2,0.8,"5.5",6.1,2.7
154,Mevsim Salata,100,3,yeşil,"katı","e",68.1,1.0,"6.1",2.1,1.1
155,Kırmızı Lahana Salatası,100,3,kırmızı,"katı","e",77.4,1.3,"6.4",3.3,2.2
156,Kıvırcık Salatası,100,3,yeşil,"katı","e",60.5,1.6,"5.3",1.3,1.7
157,Marul Salatası,60,3,yeşil,"katı","e",34.8,0.9,"2.9",1.0,0.7
158,Patates Salatası,100,3,sarı,"katı","e",121.2,1.7,"7.1",12.1,1.4
159,Amerikan Salatası,100,3,beyaz,"yumuşak","e",46.6,1.5,"1.5",6.4,2.2
160,Yoğurtlu Semizotu Salatası,100,3,beyaz,"yumuşak","e",46.4,2.9,"2.3",3.1,1.0
161,Börülce Salatası,50,3,yeşil,"katı","e",57.0,4.3,"0.8",7.9,1.6
162,Gavurdağı Salatası,100,3,kırmızı,"katı","e",145.8,2.5,"12.0",7.0,2.0
163,HavuçTurp Salatası,100,3,turuncu,"katı","e",49.5,1.0,"3.0",3.8,1.7
164,Mercimek Salatası,100,3,yeşil,"katı","e",140.8,7.0,"4.2",18.4,3.8
165,Yoğurtlu Kereviz Salatası,150,3,beyaz,"yumuşak","e",44.1,2.9,"1.6",4.0,4.4
166,Çoban Salata,150,3,kırmızı,"katı","e",62.7,1.2,"4.5",4.0,1.7
167,Elma Kompostosu,150,3,beyaz,"sıvı","e",288.2,0.3,"0.0",70.4,1.9
168,Kuru Kayısı Hoşafı,150,3,sarı,"sıvı","e",247.0,1.7,"0.2",57.1,6.0
169,Kuru Erik Hoşafı,150,3,sarı,"sıvı","e",240.2,0.8,"0.2",57.0,6.1
170,Vişne Kompostosu,150,3,kırmızı,"sıvı","e",241.3,0.9,"0.5",56.3,1.1
171,Şeftali Kompostosu,150,3,sarı,"sıvı","e",280.0,0.7,"0.1",67.9,1.5
